Imperfeito (eu),via,vinha,,Imperfeito (eu),punha,havia
Conj. pres. (eu),veja,venha,,Conj. pres. (eu),ponha,haja
,,,,,,
,Estar,Querer,,,,
Presente (eu),estou,,,,,
Tu,estás,,,,,
Ela/ele,está,quer,,,,
Nós,estamos,,,,,
Elas/eles,estão,,,,,
Perfeito (eu),estive,quis,,,,
Tu,,,,,,
Ela/ele,esteve,quis,,,,
Nós,,,,,,
Elas/eles,,,,,,
Imperfeito (eu),estava,queria,,,,
Conj. pres. (eu),esteja,queira,,,,
,,,,,,
,,,,,,
,Dizer,Trazer,,,Saber,Caber
Presente (eu),digo,trago,,Presente (eu),sei,caibo
Perfeito (eu),disse,trouxe,,Perfeito (eu),soube,coube
Perfeito (ela/ele),disse,trouxe,,Perfeito (ela/ele),soube,coube
Futuro (eu),direi,trarei,,Conj. pres. (eu),saiba,caiba
,,,,,,
,Fazer,Poder,,,Prazer,
Present (eu),faço,posso,,Perfeito (eu),prouve,
Perfeito (eu),fiz,pude,,Perfeito (ela/ele),prouve,
Perfeito (ela/ele),fez,pôde,,,,
Futuro (eu),farei,,,,,
,,,,,,
Presente,-zar/zer/zir,-ear,,Presente,"-ir 
(curto)",-air
Eu,introduz,passeio,,Eu,rio,saio
Tu,introduzes,passeias,,Tu,ris,sais
Ela/ele,introduz,passeia,,Ela/ele,ri,sai
Nós,introduzimos,passeamos,,Nós,rimos,saímos
Elas/eles,introduzem,passeiam,,Elas/eles,riem,saem
,,,,,,
Presente,"-er 
(curto)",-oer,,Presente,-uir,-struir
Eu,creio,doo,,Eu,possuo,construo
Tu,crês,dóis,,Tu,possuis,constróis
Ela/ele,crê,dói,,Ela/ele,possui,constrói
Nós,cremos,doemos,,Nós,possuímos,construímos
Elas/eles,creem,doem,,Elas/eles,possuem,constroem
,,,,,,
,,,,,,
Presente,"-e*ir 
(às vezes)","-e*ir 
(às vezes)",,Presente,"-o*ir
(às vezes)","-u*ir 
(às vezes)"
Eu,agrido,minto,,Eu,durmo,subo
Tu,agrides,mentes,,Tu,dormes,sobes
Ela/ele,agride,mente,,Ela/ele,dorme,sobe
Nós,agredimos,mentimos,,Nós,dormimos,subimos
Elas/eles,agridem,mentem,,Elas/eles,dormem,sobem
Verbos,"agredir
*gredir
cerzir
denegrir
prevenir","aderir
advertir
compelir
competir
concernir
convergir
despir
divergir
divertir
emergir
enxerir
expelir
ferir
flectir
fletir
gerir
inserir
mentir
preterir
repetir
seguir
sentir
servir
vestir",,Verbos,"abolir
cobrir
dormir
engolir
extorquir
tossir","acudir
bulir
cuspir
entupir
escapulir
fugir
sacudir
subir
sumir"
,,,,,,
Presente,"-iar
(às vezes)",,,Infinitivo,Alterações,
Eu,anseio,,,-jar/ger/gir,ja/ge/gi/jo/ju,
Tu,anseias,,,-gar/guer/guir,ga/gue/gui/go/gu,
Ela/ele,anseia,,,-çar/cer/cir,ça/ce/ci/ço/çu,
Nós,ansiamos,,,-car/quer/quir,ca/que/qui/co/cu,
Elas/eles,anseiam,,,,,
Verbos,"anseiar
odiar",,,,"Termina com
verbo irregular",
,,,,Compor,Componho,
,Presente (eu),,,,,
Valer,valho,,,,Clíticos,
Requerer,requeiro,,,Tempos simples,amo-me,
Parir,pairo,,,"Tempos 
compostos","tenho-me 
amado",
Perder,perco,,,Negação,não me amo,
Ouvir,ouço,,,Advérbio,como me amo,
Pedir,peço,,,Conjunção,que me amo,
Medir,meço,,,"Pronome 
indefinido","toda a gente 
se ama",
,,,,Futuro/condic.,amar-me-ei,
,,,,,,
,,,,,,
,"Part. passado
simples",,,"-*ar 
(às vezes)",Part. passado,
abrir,aberto,,,aceitar,aceite,
cobrir,coberto,,,Verbos,aceitar,
dizer,dito,,,,assentar,
escrever,escrito,,,,empregar,
fazer,feito,,,,encarregar,
pôr,posto,,,,entregar,
ver,visto,,,,livrar,
vir,vindo,,,,,
,,,,,,
"-*ar 
(às vezes)",Part. passado,,,"-*ar 
(às vezes)",Part. passado,
pagar,pago,,,pagar,pago,
Verbos,"anexar
cativar
cegar
completar
confessar
descalçar
despertar
dispersar
expressar
expulsar
fartar
findar
fixar
fritar
ganhar
gastar
hirtar
infectar
inquietar
isentar",,,Verbos,"juntar
libertar
limpar
malquistar
manifestar
murchar
ocultar
pagar
pasmar
pegar
safar
salvar
secar
segurar
sepultar
soltar
sujar
sujeitar
suspeitar
vagar",
,,,,,,
,Part. passado,,,,Part. passado,
afligir,aflito,,,absorver,absorto,
constringir,constrito,,,abstrair,abstrato,
destingir,destinto,,,assumir,assumpto,
erigir,ereto,,,atender,atento,
frigir,frito,,,benzer,bento,
surgir,surto,,,convencer,convicto,
tingir,tinto,,,corrigir,correto,
,,,,cultivar,culto,
,Part. passado,,,diluir,diluto,
afeiçoar,afeto,,,dissolver,dissoluto,
agradecer,grato,,,eleger,eleito,
corromper,corrupto,,,envolver,envolto,
matar,morto,,,enxugar,enxuto,
morrer,morto,,,exaurir,exausto,
romper,roto,,,extinguir,extinto,
,,,,inserir,inserto,
,,,,misturar,misto,
,,,,restringir,restrito,
,,,,revolver,revolto,
,,,,situar,sito,
,,,,torcer,torto,
,,,,,,
,,,,,,
,Part. passado,,,,Part. passado,
comprimir,compresso,,,converter,converso,
exprimir,expresso,,,incorrer,incurso,
imprimir,impresso,,,omitir,omisso,
oprimir,opresso,,,perverter,perverso,
suprimir,supresso,,,pretender,pretenso,
,,,,retundir,retunso,
,Part. passado,,,submeter,submisso,
aspergir,asperso,,,suspender,suspenso,
emergir,emerso,,,,,
imergir,imerso,,,,Part. passado,
submergir,submerso,,,acender,aceso,
,,,,defender,defeso,
,Part. passado,,,prender,preso,
compelir,compulso,,,surpreender,surpreso,
expelir,expulso,,,,,
impelir,impulso,,,,Part. passado,
propelir,propulso,,,concluir,concluso,
repelir,repulso,,,excluir,excluso,
,,,,incluir,incluso,
,Part. passado,,,,,
nascer,nado/nato,,,,Part. passado,
encher,cheio,,,confundir,confuso,
,,,,demitir,demiso,
